pano,pmes,conglome,submuestra,vivienda,hogar,codperso,dominio,estrato,codpanel,p103,p104,p105,p106,p107,p108,p109a,p109b,p109c,p200n,p200i,p200a,p200b,p200bb,p200c,p200d,p200dd,p200e,p200f,p200g,p201,p202,p203,p204,p2041,p2042,p2043,p2044,p2045,p2046,p2047,p2048,p2049,p20410,p20411,p204a,p205a,p206,P206AA,p207a,p207b,p208b1,p208b2,p208b3,p209a,p209b,p209c,p209d,p209e,p209f,p209g,p209t,p209bb,p209cc,p209h,p209ee,p210,p211a,p211b,p212a,p212b,p212c,p212d,p212e,p213,p214,p215,p216,p217,p218,p219,p220,p222,P223A1,P223A2,P223A3,P223A4,P223A5,P223A6,P223A7,P224,P225,ocu200,i211a,i211b,i212a,i212b,i212c,i212d,ingtot,ingprin,resident,fa_mjj22
2022,05,017287,005,0135,11,01,8,1,21051101,1,1,2, ,1,44,6,5, ,1,1,15,5,2022,21,5,2022,1,10,1977,1, , , , , , , , , , , , , , ,985,7830,4,4,1,10,5,5,2021,0,8,8,8,8,8,8,48,1, ,1,1,4,930,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,930,0, , , , ,930,930,1,334.364038315942
2022,05,017287,005,0135,11,02,8,1,21051102,2,1,2, ,2,42,5,2, ,2,2,15,5,2022,21,5,2022,24,12,1979,1, , , , , , , , , , , , , , ,942,8890,4,2,2, ,15,5,2021,0,5,5,5,5,5,0,25,1, ,1,2,1,0,8, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,1,1,0,200, , , , ,200,200,1,322.152369366096
2022,05,017287,005,0135,11,03,8,1,21051103,3,1,2, ,2,19,7,2, ,3,3,15,5,2022,21,5,2022,19,7,2002,1, , , , , , , , , , , , , , ,919,4799,2, ,1,1,15,6,2021,3,3,3,3,3,3,3,21,1, ,1,2, , , ,130,0, , ,1, , , , , , , , ,5,0,0,0,0,0,0,1,6,4,1, , ,130,0, , ,130,130,1,315.954424658445
2022,05,017287,005,0135,11,04,8,1,21051104,3,1,2, ,2,16,5,4, ,4,4,15,5,2022,21,5,2022,9,1,2006,1, , , , , , , , , , , , , , ,247,8549,2, ,1,1,30,3,2022,0,0,3,0,3,0,0,6,1, ,1,2, , , ,20,0, , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1, , ,20,0, , ,20,20,1,315.954424658445
2022,05,017287,005,0135,11,05,8,1,21051105,3,1,2, ,1,9,3, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017287,005,0135,11,06,8,1,21051106,3,1,2, ,2,5,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017287,005,0138,11,01,8,1,21051101,1,1,2, ,2,39,4, ,6,1,1,8,5,2022,14,5,2022,5,10,1982,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2, ,0, ,1,6,0,0,0,0,0,0,1,6,1,4, , , , , , , , ,1,322.152369366096
2022,05,017287,005,0138,11,02,8,1,22051102,3,1,2, ,1,18,6,5, ,2,2,15,5,2022,21,5,2022,21,9,2003,1, , , , , , , , , , , , , , ,867,4752,4,5,1,6,15,12,2021,0,10,10,10,10,10,10,60,1, ,1,1,2,200,0, , , , ,1, , , , , , , , ,6,0,0,0,0,0,0,1,1,1,1,866,0, , , , ,866,866,1,299.196284782521
2022,05,017287,005,0138,11,03,8,1,21051102,3,1,2, ,2,13,5,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017287,005,0138,11,04,8,1,21051103,3,1,2, ,1,11,3, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017287,005,0138,11,05,8,1,21051104,3,1,2, ,2,6,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017287,005,0138,11,06,8,1,21051105,3,1,2, ,2,22,6,5, ,6,6,8,5,2022,14,5,2022,27,12,1999,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2, ,0, ,1,6,0,0,0,0,0,0,1,1,4,4, , , , , , , , ,1,315.954424658445
2022,05,017287,005,0138,11,07,8,1,21051106,4,1,2, ,1,23,6,5, ,7,7,15,5,2022,21,5,2022,12,11,1998,1, , , , , , , , , , , , , , ,867,4752,4,5,1,6,5,8,2021,0,10,10,10,10,10,10,60,1, ,1,2,2,250,0, , , , ,1, , , , , , , , ,6,0,0,0,0,0,0,1,1,1,1,1083,0, , , , ,1083,1083,1,299.196284782521
2022,05,017287,005,0138,11,08,8,1,21051107,10,1,2, ,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017287,005,0139,11,01,8,1,21051101,1,1,2, ,1,74,3,2, ,1,1,8,5,2022,14,5,2022,2,8,1947,1, , , , , , , , , , , , , , ,945,3811,2, ,1,1,15,2,2021,10,10,10,10,10,10,10,70,1, ,1,1, , , ,210,0, , ,1, , , , , , , , ,6,0,0,0,1,0,0,0,1,1,1, , ,210,0, , ,210,210,1,263.860623236646
2022,05,017329,005,0105,11,01,8,1,21051101,1,1,2, ,1,37,6,5, ,1,1,24,4,2022,30,4,2022,29,9,1984,1, , , , , , , , , , , , , , ,864,1622,4,5,1,12,99,99,2010,0,8,8,8,8,8,0,40,1, ,2,2,4,1200,173, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,1200,173, , , , ,1373,1373,1,445.818717754589
2022,05,017329,005,0105,11,02,8,1,21051102,2,1,2, ,2,43,6,5, ,2,2,24,4,2022,30,4,2022,28,6,1978,1, , , , , , , , , , , , , , ,572,4722,2, ,1,1,20,12,2020,18,2,2,8,8,2,18,58,1, ,1,2, , , ,325,0,433,0,0, , , , , , , , ,1,0,0,0,0,0,0,1,1,1,1, , ,325,0,433,0,758,325,1,429.536492488129
2022,05,017329,005,0105,11,03,8,1,21051103,3,1,2, ,1,11,3, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017329,005,0105,11,04,8,1,21051104,3,1,2, ,1,6,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017329,005,0106,11,01,8,1,21051101,1,1,2, ,2,29,7,1, ,1,1,24,4,2022,30,4,2022,16,5,1992,1, , , , , , , , , , , , , , ,572,4791,2, ,1,1,24,4,2022,4,4,4,4,4,4,4,28,1, ,1,2, , , ,200,100, , ,1, , , , , , , , ,6,0,0,0,0,0,0,1,5,4,1, , ,200,100, , ,300,300,1,429.536492488129
2022,05,017329,005,0106,11,02,8,1,21051102,2,1,2, ,1,27,6,5, ,2,2,24,4,2022,30,4,2022,7,6,1994,1, , , , , , , , , , , , , , ,864,4663,4,5,1,5,25,4,2020,0,8,8,8,8,8,8,48,1, ,1,2,2,300,216, , , , ,1, , , , , , , , ,6,0,0,0,0,0,0,1,6,4,1,1299,935, , , , ,2234,2234,1,445.818717754589
2022,05,017329,005,0106,11,03,8,1,21051103,3,1,2, ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017329,005,0106,11,04,8,1,22051104,11,1,2, ,1,24,6,5, ,4,4,24,4,2022,30,4,2022,31,10,1997,1, , , , , , , , , , , , , , ,987,7830,4,4,1,20,99,99,2019,0,10,0,0,0,0,0,10,2,30,1,1,2,80,0, , , , ,1, , , , , , , , ,6,0,0,0,0,0,0,1,6,4,1,346,0, , , , ,346,346,1,398.928379710028
2022,05,017329,005,0106,11,05,8,1,22051105,9,1,2, ,2,24,6,5, ,5,5,24,4,2022,30,4,2022,13,1,1998,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , ,0, ,1,1,0,0,0,0,0,0,1,6,4,4, , , , , , , , ,1,421.272566211259
2022,05,017329,005,0106,11,06,8,1,22051106,5,1,2, ,2,52,5,1, ,6,6,1,5,2022,7,5,2022,6,4,1970,1, , , , , , , , , , , , , , ,941,9700,6, ,1,2,1,1,2022,0,8,8,8,8,8,4,44,1, ,2,2,3,440,14, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,880,28, , , , ,908,908,1,316.398281606428
2022,05,017329,005,0106,11,07,8,1,22051107,9,1,2, ,2,17,6,5, ,7,7,1,5,2022,7,5,2022,28,9,2004,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,9,2, , ,0, ,1,1,0,0,0,0,0,0,1,6,4,4, , , , , , , , ,1,421.272566211259
2022,05,017329,005,0107,11,01,8,1,21051101,1,1,2, ,1,50,6,5, ,1,1,24,4,2022,30,4,2022,22,7,1971,1, , , , , , , , , , , , , , ,785,3315,4,5,1,3,15,4,2021,0,8,8,8,8,8,0,40,1, ,1,1,2,250,60, , , , ,1, , , , , , , , ,6,0,0,0,0,0,0,1,6,4,1,1083,260, , , , ,1343,1343,1,351.814164315528
2022,05,017329,005,0107,11,02,8,1,21051102,2,1,2, ,2,50,6,5, ,2,2,24,4,2022,30,4,2022,23,1,1972,1, , , , , , , , , , , , , , ,766,1071,2, ,1,3,99,3,2020,0,4,4,4,8,8,3,31,1, ,1,1, , , ,300,0,693,87,0, , , , , , , , ,6,0,0,0,0,0,0,1,6,4,1, , ,300,0,693,87,1080,300,1,316.398281606428
2022,05,017329,005,0107,11,03,8,1,21051103,3,1,2, ,2,13,4, ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017329,005,0107,11,04,8,1,21051104,3,1,2, ,2,11,3, ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017329,005,0107,11,05,8,1,22051105,3,1,2, ,2,29,6,5, ,5,5,24,4,2022,30,4,2022,16,12,1992,1, , , , , , , , , , , , , , ,766,1071,5,5,1,3,1,4,2022,0,4,4,4,0,0,3,15,1, ,1,1, , , , , , , , , , , , , , , , ,6,0,0,0,0,0,0,1,6,4,1, , , , , , ,0,0,1,429.536492488129
2022,05,017329,005,0107,11,06,8,1,22051106,10,1,2, ,1,7,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017329,005,0107,11,07,8,1,22051107,10,1,2, ,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017329,005,0108,11,01,8,1,21051101,1,1,2, ,2,45,6,5, ,1,1,24,4,2022,30,4,2022,2,7,1976,1, , , , , , , , , , , , , , ,572,4791,2, ,1,1,99,8,2021,1,7,7,6,6,6,6,39,1, ,1,1, , , ,173,0,50,0,0, , , , , , , , ,6,0,0,0,0,0,0,1,6,4,1, , ,173,0,50,0,223,173,1,316.398281606428
2022,05,017329,005,0108,11,02,8,1,21051103,3,1,2, ,1,22,5,3, ,2,1,24,4,2022,30,4,2022,16,2,2000,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,2, , ,0, ,2,6,0,0,0,0,1,1,0,6,4,4, , , , , , , , ,1,398.928379710028
2022,05,017329,005,0108,11,03,8,1,21051104,3,1,1, ,2,18,6,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022,05,017358,005,0106,11,01,8,1,21051101,1,1,2, ,1,64,6,5, ,1,1,15,5,2022,21,5,2022,24,4,1958,1, , , , , , , , , , , , , , ,423,8610,3,2,2, ,99,99,1985,0,8,8,8,8,8,0,40,1, ,2,2,4,2500,200, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,1,1,1,2500,200, , , , ,2700,2700,1,140.725665726211
2022,05,017358,005,0106,11,02,8,1,21051102,2,1,2, ,2,61,8,3, ,2,2,15,5,2022,21,5,2022,21,10,1960,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , ,0, ,1,1,0,0,0,0,0,0,1,6,1,4, , , , , , , , ,1,126.559312642571
2022,05,017358,005,0106,11,03,8,1,21051103,3,1,2, ,1,25,10,5, ,3,3,15,5,2022,21,5,2022,7,3,1997,2,1, , , , , , , , , , , , , ,423,4759,3,5,2, ,99,3,2021,0,0,0,0,0,0,0,0,2,40,1,2,4,1800,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,1800,0, , , , ,1800,1800,1,178.327487101836
2022,05,017358,005,0108,11,01,8,1,21051101,1,1,2, ,1,61,5,2, ,1,1,15,5,2022,21,5,2022,27,8,1960,1, , , , , , , , , , , , , , ,844,3290,2, ,1,1,99,99,2010,0,0,0,0,9,9,9,27,2,33,1,1, , , ,600,0, , ,1, , , , , , , , ,6,0,0,0,0,0,0,1,1,1,1, , ,600,0, , ,600,600,1,140.725665726211
2022,05,017358,005,0108,11,02,8,1,21051102,2,1,2, ,2,60,1, , ,2,2,15,5,2022,21,5,2022,25,3,1962,1, , , , , , , , , , , , , , ,522,5630,2, ,1,1,99,11,2021,0,0,0,0,0,4,4,8,1, ,1,1, , , ,87,17, , ,1, , , , , , , , ,5,0,0,0,0,0,0,1,1,1,1, , ,87,17, , ,104,104,1,126.559312642571
2022,05,017358,005,0108,11,03,8,1,21051103,3,1,2, ,1,35,9,2, ,3,3,15,5,2022,21,5,2022,9,5,1987,1, , , , , , , , , , , , , , ,247,8549,2, ,1,1,99,99,2017,0,4,4,4,4,4,4,24,1, ,2,2, , , ,520,0, , ,1, , , , , , , , ,6,0,0,0,0,0,0,1,6,4,1, , ,520,0, , ,520,520,1,178.327487101836
2022,05,017358,005,0108,11,04,8,1,21051104,3,1,2, ,1,23,6,5, ,4,4,15,5,2022,21,5,2022,11,7,1998,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , ,0, ,1,6,0,0,0,0,0,0,1,6,4,4, , , , , , , , ,1,159.571351884011
2022,05,017358,005,0109,11,01,8,1,21051102,1,1,2, ,1,21,8,3, ,1,1,15,5,2022,21,5,2022,19,6,2000,1, , , , , , , , , , , , , , ,391,7310,3,5,1,40,99,10,2021,0,8,8,8,8,8,0,40,1, ,1,2,4,2500,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,2500,0, , , , ,2500,2500,1,159.571351884011
2022,05,017399,005,0103,11,01,8,1,21051101,1,1,2, ,1,58,4,5, ,1,1,24,4,2022,30,4,2022,6,1,1964,1, , , , , , , , , , , , , , ,876,7830,4,4,2, ,99,99,2010,0,8,8,8,8,8,8,48,1, ,2,2,4,1200,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,1200,0, , , , ,1200,1200,1,193.49779037354
2022,05,017399,005,0103,11,02,8,1,21051103,3,1,1, ,1,34,6,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022,05,017399,005,0103,11,03,8,1,21051104,4,1,1, ,2,30,5,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022,05,017399,005,0103,11,04,8,1,21051105,10,1,1, ,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022,05,017399,005,0104,11,01,8,1,21051101,1,1,2, ,1,63,6,5, ,1,2,1,5,2022,7,5,2022,19,11,1958,1, , , , , , , , , , , , , , ,885,4922,2, ,1,1,99,99,2000,10,10,10,10,10,10,10,70,1, ,1,2, , , ,1212,0, , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1, , ,1212,0, , ,1212,1212,1,193.49779037354
2022,05,017399,005,0104,11,02,8,1,21051102,2,1,2, ,2,63,6,5, ,2,2,1,5,2022,7,5,2022,28,3,1959,1, , , , , , , , , , , , , , ,942,8121,4,4,2, ,99,99,2016,8,8,8,8,8,8,0,48,1, ,2,2,4,930,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,930,0, , , , ,930,930,1,174.019054883535
2022,05,017399,005,0104,11,03,8,1,21051103,3,1,2, ,1,27,9,4, ,3,3,1,5,2022,7,5,2022,1,5,1995,2,1, , , , , , , , , , , , , ,319,8220,3,5,2, ,99,99,2016,0,0,0,0,0,0,0,0,2,48,1,2,4,2200,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,2200,0, , , , ,2200,2200,1,245.200294765024
2022,05,017399,005,0104,11,04,8,1,21051104,3,1,2, ,1,23,7,2, ,4,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,1,0
2022,05,017399,005,0105,11,01,8,1,21051101,1,1,2, ,1,63,6,5, ,1,2,24,4,2022,30,4,2022,21,2,1959,1, , , , , , , , , , , , , , ,564,8010,3,4,2, ,99,99,2020,0,8,8,8,8,8,0,40,1, ,1,2,4,1200,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,1200,0, , , , ,1200,1200,1,193.49779037354
2022,05,017399,005,0105,11,02,8,1,21051102,3,1,2, ,1,32,6,5, ,2,2,24,4,2022,30,4,2022,13,7,1989,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,1,0, ,1,5,0,0,0,0,0,0,1,6,4,3, , , , , , , , ,1,245.200294765024
2022,05,017399,005,0106,11,01,8,1,21051101,1,1,2, ,2,50,6,5, ,1,1,24,4,2022,30,4,2022,15,7,1971,1, , , , , , , , , , , , , , ,772,1410,2, ,1,3,99,99,2010,0,6,6,6,6,6,6,36,1, ,2,1, , , ,930,0, , ,1, , , , , , , , ,6,0,0,0,0,0,0,1,6,4,1, , ,930,0, , ,930,930,1,174.019054883535
2022,05,017399,005,0106,11,02,8,1,21051102,3,1,2, ,2,27,9,1, ,2,2,24,4,2022,30,4,2022,29,6,1994,1, , , , , , , , , , , , , , ,772,1410,4,5,1,4,25,4,2022,0,13,6,6,6,6,6,43,1, ,1,2,2,25,0, , , , ,0, , , , , , , , ,6,0,0,0,0,0,0,1,6,4,1,108,0, , , , ,108,108,1,236.245070868471
2022,05,017399,005,0106,11,03,8,1,21051103,3,1,2, ,1,15,5,3, ,3,3,24,4,2022,30,4,2022,23,9,2006,2,2,2, ,2,2,2,2,2,2,2,2,1,2,2,772,1410,5,5,1,3,99,99,2020,0,1,1,1,0,1,1,5,1, ,2,2, , , , , , , , ,2,4,2, , ,0, ,2,6,0,0,0,0,0,0,1,5,4,4, , , , , , , , ,1,219.410608840515
2022,05,017399,005,0106,11,04,8,1,21051104,3,1,2, ,1,14,5,2, ,4,4,24,4,2022,30,4,2022,22,11,2007,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2, , ,0, ,2,6,0,0,0,0,0,0,1,5,4,4, , , , , , , , ,1,219.410608840515
2022,05,017512,005,0113,11,01,8,1,21051101,1,1,2, ,2,31,7,2, ,1,1,15,5,2022,21,5,2022,6,6,1990,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2, ,0, ,1,6,0,0,0,0,0,0,1,6,4,4, , , , , , , , ,1,536.920615610161
2022,05,017512,005,0113,11,02,8,1,21051102,2,1,2, ,1,40,6,5, ,2,2,15,5,2022,21,5,2022,11,11,1981,1, , , , , , , , , , , , , , ,851,4100,4,5,1,6,2,5,2022,0,9,9,9,9,9,9,54,1, ,2,2,1,80,18, , ,650,0,0, , , , , , , , ,6,0,0,0,0,0,0,1,6,4,1,2000,450, , ,650,0,3100,2450,1,557.273397193237
2022,05,017512,005,0113,11,03,8,1,21051105,3,1,2, ,1,12,4, ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017512,005,0113,11,04,8,1,21051106,3,1,2, ,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017512,005,0113,11,05,8,1,21051103,5,1,2, ,2,54,7,1, ,5,5,15,5,2022,21,5,2022,2,4,1968,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,9,1,2, ,0, ,1,6,0,0,0,0,0,0,1,5,4,4, , , , , , , , ,1,395.497852008035
2022,05,017512,005,0114,11,01,8,1,21051201,1,1,2, ,1,40,6,5, ,1,1,15,5,2022,21,5,2022,19,8,1981,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,3,3,1,6,0,0,0,0,0,0,1,1,4,2, , , , , , , , ,1,557.273397193237
